features	levels	decision	cuts	supportLHS	supportRHS	accuracyRHS	coverageLHS	coverageRHS	stabilityLHS	stabilityRHS	cut1	cut2	cut3	cut4	supportRatioLHS	supportRatioRHS	pValue	riskRatio	pValueRiskRatio	confIntRiskRatio	cut5
LOC701920	1	NonProt	value<cut	12	12	0.91987	0.35714	0.63889	1	1	5.27				0.63158	0.63158	0.0131548996955004	Inf	0.0253479650718482	-Inf:Inf	
TMX2	3	Prot	value>cut	10	10	0.90455	0.29563	0.48684	1	1	3.24				0.5	0.5	0.296716070909619	Inf	0.427163780627783	-Inf:Inf	
KIR3DL0	1	NonProt	value<cut	12	11	0.91667	0.34286	0.61111	1	1	2.9505				0.63158	0.57895	0.407801890560512	11.5789473684211	0.422350028633934	1.65:81.258	
KRTAP29.1	2	NonProt	cut<value<cut	12	11	0.91667	0.34286	0.61111	1	1	-5.023	-4.338			0.63158	0.57895	0.407801890560512	11.5789473684211	0.422350028633934	1.65:81.258	
LOC702786	2	NonProt	cut<value<cut	12	11	0.91667	0.34286	0.61111	1	1	-5.0229	-2.3455			0.63158	0.57895	0.407801890560512	11.5789473684211	0.422350028633934	1.65:81.258	
LOC709056	1	NonProt	value<cut	12	11	0.88889	0.33968	0.61574	1	1	-0.40267				0.63158	0.57895	0.407801890560512	11.5789473684211	0.422350028633934	1.65:81.258	
X00000037843	1	Prot	value<cut	12	11	0.91667	0.3415	0.60346	1	1	2.46806				0.6	0.55	0.866030896620438	10.45	0.917789956664443	1.489:73.335	
VSTM1	1	Prot	value<cut	12	11	0.91667	0.3415	0.60346	1	1	4.34514				0.6	0.55	0.866030896620438	10.45	0.917789956664443	1.489:73.335	
STARD8	2	Prot	cut<value<cut	12	11	0.91667	0.34286	0.57895	1	1	0.6394	1.4946			0.6	0.55	0.866030896620438	10.45	0.917789956664443	1.489:73.335	
LTC4S	1	Prot	value<cut	12	11	0.91667	0.34286	0.64706	1	1	-0.4734				0.6	0.55	0.866030896620438	10.45	0.917789956664443	1.489:73.335	
FABP5	1	Prot	value<cut	12	11	0.91667	0.33333	0.55	1	1	1.9987				0.6	0.55	0.866030896620438	10.45	0.917789956664443	1.489:73.335	
X00000064715	3	Prot	value>cut	11	10	0.90909	0.31429	0.54094	1	1	1.8839				0.55	0.5	1	9.5	1	1.342:67.267	
LOC701920,KRTAP29.1	3,1	Prot	value>cut,value<cut	7	6	0.85714	0.2	0.33333	1	1	5.525	-5.0055			0.35	0.3	1	5.7	1	0.755:43.043	
THRB,X00000058729	1,3	Prot	value<cut,value>cut	7	6	0.88929	0.2	0.34486	1	1	-4.87374	-2.3494			0.35	0.3	1	5.7	1	0.755:43.043	
TMEM38A,X00000058729	1,3	Prot	value<cut,value>cut	8	6	0.86607	0.21429	0.37091	1	1	2.7915	-2.3497			0.4	0.3	1	2.85	1	0.654:12.42	
LOC709056,SDK2	3,3	Prot	value>cut,value>cut	7	6	0.89732	0.19861	0.3394	1	1	0.6909	0.59215			0.35	0.3	1	5.7	1	0.755:43.043	
KRTAP29.1,LTC4S	1,1	Prot	value<cut,value<cut	7	6	0.85714	0.2	0.33402	1	1	-5.02017	-0.464			0.35	0.3	1	5.7	1	0.755:43.043	
LOC719667,KRTAP29.1	1,1	Prot	value<cut,value<cut	7	6	0.85714	0.2	0.33333	1	1	4.2055	-5.0055			0.35	0.3	1	5.7	1	0.755:43.043	
STARD8,X00000058729	2,3	Prot	cut<value<cut,value>cut	7	6	0.90476	0.19048	0.32748	1	1	0.64323	1.4421	-2.39103		0.35	0.3	1	5.7	1	0.755:43.043	
X00000037843,KRTAP29.1	1,1	Prot	value<cut,value<cut	6	6	1	0.17143	0.33333	1	1	2.4673	-5.0055			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000037843,LOC719667	1,1	Prot	value<cut,value<cut	6	6	1	0.17143	0.33333	1	1	2.4673	4.2055			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000053012,ZNF576	2,2	Prot	cut<value<cut,cut<value<cut	7	7	0.96429	0.19861	0.3759	1	1	2.5784	2.86305	3.746	3.94237	0.35	0.35	1	Inf	1	-Inf:Inf	
LOC715623,X00000058729	3,3	Prot	value>cut,value>cut	7	6	0.92857	0.19147	0.33867	1	1	-0.63882	-2.41852			0.35	0.3	1	5.7	1	0.755:43.043	
LTC4S,X00000058729	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33402	1	1	-0.464	-2.4671			0.3	0.3	1	Inf	1	-Inf:Inf	
LOC719667,LOC701920	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	4.2055	5.525			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000037843,LOC702786	1,1	Prot	value<cut,value<cut	6	6	1	0.17143	0.33333	1	1	2.4673	-5.0053			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000037843,X00000058729	1,3	Prot	value<cut,value>cut	7	7	1	0.18802	0.36715	1	1	2.47125	-2.32906			0.35	0.35	1	Inf	1	-Inf:Inf	
X00000064715,HCN2	3,1	Prot	value>cut,value<cut	6	6	1	0.17143	0.33333	1	1	1.789	-2.7443			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000064369,X00000058729	1,1	NonProt	value<cut,value<cut	7	6	0.85714	0.2	0.35294	1	1	2.5624	-4.6471			0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
X00000064715,LOC709056	2,1	NonProt	cut<value<cut,value<cut	7	6	0.90476	0.19048	0.33987	1	1	-0.0597	1.81807	-0.43657		0.36842	0.31579	1	6.31578947368421	1	0.836:47.694	
X00000064715,ESR1	2,1	NonProt	cut<value<cut,value<cut	6	6	1	0.17143	0.33987	1	1	-0.0597	1.81807	0.55437		0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000064715,THRB	2,3	NonProt	cut<value<cut,value>cut	6	6	1	0.17143	0.33987	1	1	-0.0597	1.81807	-3.1894		0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000053274,X00000064369	1,1	NonProt	value<cut,value<cut	6	6	1	0.18034	0.36878	1	1	-0.3548	2.5773			0.31579	0.31579	1	Inf	1	-Inf:Inf	
ESR1,MYH15	1,3	NonProt	value<cut,value>cut	6	6	1	0.17143	0.35294	1	1	0.6029	-1.484			0.31579	0.31579	1	Inf	1	-Inf:Inf	
FABP5,LAMC1	3,3	NonProt	value>cut,value>cut	6	6	1	0.17399	0.35852	1	1	2.48146	1.7959			0.31579	0.31579	1	Inf	1	-Inf:Inf	
RBM46,X00000059995	3,2	Prot	value>cut,cut<value<cut	7	6	0.86161	0.20575	0.3394	1	1	-1.14562	-0.39362	0.66035		0.35	0.3	1	5.7	1	0.755:43.043	
LOC701920,X00000059995	2,2	Prot	cut<value<cut,cut<value<cut	7	6	0.85714	0.2	0.33333	1	1	5.2565	5.525	-0.2925	0.6708	0.35	0.3	1	5.7	1	0.755:43.043	
LOC701920,C5H4orf45	2,1	Prot	cut<value<cut,value<cut	8	6	0.86607	0.21336	0.35922	1	1	5.26133	5.5275	0.18078		0.4	0.3	1	2.85	1	0.654:12.42	
X00000053274,X00000064313	3,2	Prot	value>cut,cut<value<cut	7	6	0.90476	0.19048	0.34641	1	1	1.3482	-2.666	-1.27233		0.35	0.3	1	5.7	1	0.755:43.043	
TMX2,LAMC1	3,2	Prot	value>cut,cut<value<cut	7	6	0.90476	0.18889	0.31637	1	1	3.24	0.9085	1.77247		0.35	0.3	1	5.7	1	0.755:43.043	
RBM46,TRIM16	3,3	Prot	value>cut,value>cut	6	6	1	0.17143	0.34314	1	1	-1.06058	-0.96295			0.3	0.3	1	Inf	1	-Inf:Inf	
C5H4orf45,X00000060253	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33416	1	1	0.23172	2.05402			0.3	0.3	1	Inf	1	-Inf:Inf	
STARD8,TMX2	1,3	Prot	value<cut,value>cut	6	6	1	0.17857	0.35483	1	1	0.65991	3.23806			0.3	0.3	1	Inf	1	-Inf:Inf	
LOC719667,TMX2	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.32456	1	1	4.10025	3.24			0.3	0.3	1	Inf	1	-Inf:Inf	
X00000060253,X00000059995	3,2	Prot	value>cut,cut<value<cut	7	6	0.96875	0.19286	0.37663	1	1	2.04115	-0.39853	0.64223		0.35	0.3	1	5.7	1	0.755:43.043	
LOC719667	3	NonProt	value>cut	11	10	0.90909	0.31429	0.56373	1	1	4.9985				0.57895	0.52632	1	10.5263157894737	1	1.487:74.534	
LOC719667,X00000060253	3,2	NonProt	value>cut,cut<value<cut	6	6	0.92857	0.18571	0.36397	1	1	4.964	1.2214	2.0577		0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000037843,LOC719667	2,3	NonProt	cut<value<cut,value>cut	6	6	1	0.17143	0.35294	1	1	2.4673	2.7623	4.964		0.31579	0.31579	1	Inf	1	-Inf:Inf	
