features,levels,decision,supportRHS,accuracyRHS,Therotical_Accuracy,cuts,cut1,cut2,cut3,cut4,Combinatorial_gain
LOC701920,1,NonProt,12,0.91987,0.8,value<cut,5.27,,,,-0.11987
TMX2,3,Prot,10,0.90455,0.0867579908675799,value>cut,3.24,,,,-0.81779200913242
KIR3DL0,1,NonProt,11,0.91667,0.8,value<cut,2.9505,,,,-0.11667
KRTAP29.1,2,NonProt,11,0.91667,0.785714285714286,cut<value<cut,-5.023,-4.338,,,-0.130955714285714
LOC702786,2,NonProt,11,0.91667,0.785714285714286,cut<value<cut,-5.0229,-2.3455,,,-0.130955714285714
LOC709056,1,NonProt,11,0.88889,0.846153846153846,value<cut,-0.40267,,,,-0.0427361538461538
X00000037843,1,Prot,11,0.91667,0.0699476845572564,value<cut,2.46806,,,,-0.846722315442744
VSTM1,1,Prot,11,0.91667,0.0699476845572564,value<cut,4.34514,,,,-0.846722315442744
STARD8,2,Prot,11,0.91667,0.247091033538672,cut<value<cut,0.6394,1.4946,,,-0.669578966461328
LTC4S,1,Prot,11,0.91667,0.140960562280359,value<cut,-0.4734,,,,-0.775709437719641
FABP5,1,Prot,11,0.91667,0.621342512908778,value<cut,1.9987,,,,-0.295327487091222
X00000064715,3,Prot,10,0.90909,0.152901313002965,value>cut,1.8839,,,,-0.756188686997035
"LOC701920,KRTAP29.1","3,1",Prot,6,0.85714,0.31378379614804,"value>cut,value<cut",5.525,-5.0055,,,-0.54335620385196
"THRB,X00000058729","1,3",Prot,6,0.88929,0.310938845822567,"value<cut,value>cut",-4.87374,-2.3494,,,-0.578351154177433
"TMEM38A,X00000058729","1,3",Prot,6,0.86607,0.375650364203954,"value<cut,value>cut",2.7915,-2.3497,,,-0.490419635796046
"LOC709056,SDK2","3,3",Prot,6,0.89732,0.64108795214506,"value>cut,value>cut",0.6909,0.59215,,,-0.25623204785494
"KRTAP29.1,LTC4S","1,1",Prot,6,0.85714,0.771075841347382,"value<cut,value<cut",-5.02017,-0.464,,,-0.0860641586526178
"LOC719667,KRTAP29.1","1,1",Prot,6,0.85714,0.354305490986105,"value<cut,value<cut",4.2055,-5.0055,,,-0.502834509013895
"STARD8,X00000058729","2,3",Prot,6,0.90476,0.0716360441947661,"cut<value<cut,value>cut",0.64323,1.4421,-2.39103,,-0.833123955805234
"X00000037843,KRTAP29.1","1,1",Prot,6,1,0.102589030646585,"value<cut,value<cut",2.4673,-5.0055,,,-0.897410969353415
"X00000037843,LOC719667","1,1",Prot,6,1,0.151549967962173,"value<cut,value<cut",2.4673,4.2055,,,-0.848450032037827
"X00000053012,ZNF576","2,2",Prot,7,0.96429,0.138493844942353,"cut<value<cut,cut<value<cut",2.5784,2.86305,3.746,3.94237,-0.825796155057647
"LOC715623,X00000058729","3,3",Prot,6,0.92857,0.511695569315492,"value>cut,value>cut",-0.63882,-2.41852,,,-0.416874430684508
"LTC4S,X00000058729","1,3",Prot,6,1,0.36369902964102,"value<cut,value>cut",-0.464,-2.4671,,,-0.63630097035898
"LOC719667,LOC701920","1,3",Prot,6,1,0.507109939128078,"value<cut,value>cut",4.2055,5.525,,,-0.492890060871923
"X00000037843,LOC702786","1,1",Prot,6,1,0.102589030646585,"value<cut,value<cut",2.4673,-5.0053,,,-0.897410969353415
"X00000037843,X00000058729","1,3",Prot,7,1,0.192349757424493,"value<cut,value>cut",2.47125,-2.32906,,,-0.807650242575507
"X00000064715,HCN2","3,1",Prot,6,1,0.282106121167026,"value>cut,value<cut",1.789,-2.7443,,,-0.717893878832974
"X00000064369,X00000058729","1,1",NonProt,6,0.85714,0.669975186104218,"value<cut,value<cut",2.5624,-4.6471,,,-0.187164813895782
"X00000064715,LOC709056","2,1",NonProt,6,0.90476,0.928705440900563,"cut<value<cut,value<cut",-0.0597,1.81807,-0.43657,,0.0239454409005628
"X00000064715,ESR1","2,1",NonProt,6,1,0.887573964497042,"cut<value<cut,value<cut",-0.0597,1.81807,0.55437,,-0.112426035502958
"X00000064715,THRB","2,3",NonProt,6,1,0.542168674698795,"cut<value<cut,value>cut",-0.0597,1.81807,-3.1894,,-0.457831325301205
"X00000053274,X00000064369","1,1",NonProt,6,1,0.681959082455053,"value<cut,value<cut",-0.3548,2.5773,,,-0.318040917544947
"ESR1,MYH15","1,3",NonProt,6,1,0.658682634730539,"value<cut,value>cut",0.6029,-1.484,,,-0.341317365269461
"FABP5,LAMC1","3,3",NonProt,6,1,0.75,"value>cut,value>cut",2.48146,1.7959,,,-0.25
