Sample ID;Group;Vaccine Description;RhCMV Status;vaccine route of inoculation;protectionStatus;AnimalID;Time_Point;Sex;Age;Study Event;PAXgene Sample Collection Date
S1_28819_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28819;D0;male;3,97;baseline;2014-03-19
S2_28835_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28835;D3;male;3,97;D3 of prime;2014-03-22
S5_29299_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29299;D0;male;4,04;baseline;2014-03-19
S12_30027_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30027;D3;male;3,32;D3 of prime;2014-03-22
S13_30028_W0_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30028;D7;male;3,11;D7 of prime;2014-03-26
S10_29523_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29523;D0;male;4,22;baseline;2014-03-19
S10_29523_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29523;D3;male;4,22;D3 of prime;2014-03-22
S10_29523_W0_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29523;D7;male;4,22;D7 of prime;2014-03-26
S10_29523_W18_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29523;D126;male;4,56;D0 of boost;2014-07-23
S10_29523_W18_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29523;D129;male;4,56;D3 of boost;2014-07-26
S10_29523_W18_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29523;D133;male;4,56;D7 of boost;2014-07-30
S10_29523_W88_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;29523;PreChal (W88);male;;PreChallenge;
S11_29558_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29558;D0;male;3,95;baseline;2014-03-19
S11_29558_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29558;D3;male;3,95;D3 of prime;2014-03-22
S11_29558_W0_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29558;D7;male;3,95;D7 of prime;2014-03-26
S11_29558_W18_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29558;D126;male;4,3;D0 of boost;2014-07-23
S11_29558_W18_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29558;D129;male;4,3;D3 of boost;2014-07-26
S11_29558_W18_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29558;D133;male;4,3;D7 of boost;2014-07-30
S11_29558_W88_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29558;PreChal (W88);male;;PreChallenge;
S12_30027_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30027;D0;male;3,31;baseline;2014-03-19
S12_30027_W0_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30027;D7;male;3,31;D7 of prime;2014-03-26
