sdev
3.280087	2.477028	2.226363	2.154337	1.944398	1.820606	1.649679	1.635254	1.618507	1.528395	1.485132	1.459401	1.390759	1.358349	1.281187	1.231252	1.202068	1.122364	1.07228	1.041993	1.023981	0.9846217	0.9458475	0.9071275	0.8535037	0.8152883	0.7601281	0.7266713	0.672848	0.6519189	0.5929997	0.5796433	0.5070407	0.447462	0.4233622	0.4093997	0.3785491	0.3184207	7.171018e-15	
rotation
   	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	
X00000053274	0.0679	-0.0915	0.0206	0.1784	-0.1737	0.1424	0.1113	-0.1285	-0.147	0.1281	0.0759	-0.2167	-0.061	-0.119	-0.0482	0.2167	-0.0765	0.1715	0.1337	0.0833	-0.0737	0.1489	-0.0229	-0.0419	0.2029	0.0395	-0.0213	-0.0738	-0.0471	-0.1447	-0.1328	-6e-04	0.114	-0.0667	-0.0405	-0.1891	-0.2531	0.1155	-0.0456	
X00000037843	-0.2009	-0.0853	0.0648	-0.0211	0.0564	-0.0737	0.0806	-0.1421	-0.1079	0.0931	-0.1315	-0.01	-0.0932	-0.1622	-0.0153	0.1967	-0.0898	-0.0798	0.0279	0.0899	0.0125	-0.2048	0.0636	-0.1641	0.0051	0.0087	0.0808	0.2447	0.0227	0.2064	0.0627	-0.0139	-0.1286	0.0918	-0.3504	0.1238	-0.0589	0.096	0.1002	
X00000059200	0.0972	-0.0805	0.0904	0.1898	-0.1336	0.0623	0.2242	0.0764	-0.1438	0.0718	0.0637	-0.0494	0.0191	-0.0981	0.1299	0.1231	0.082	-0.0272	0.1215	0.0339	0.3377	-0.0428	-0.1483	-0.1719	-0.1505	-0.1402	0.0576	0.1196	0.1356	0.1106	0.1222	0.036	0.0176	0.1017	-0.0594	-0.2777	0.0293	0.0645	0.088	
LOC719667	-0.1079	0.0229	0.1021	-0.0126	-0.1618	0.1488	-0.09	-0.0323	0.154	0.1589	-0.2371	-0.2649	-0.0895	0.0041	-0.1043	-0.0791	0.0819	0.0305	-0.2275	0.0442	-0.0011	0.0792	-0.0182	0.0358	0.1055	-0.0464	-0.1538	-0.0421	0.266	0.0758	-0.1839	-0.2176	0.094	0.2063	-0.066	0.178	-0.0768	0.06	-0.0522	
VSTM1	-0.2197	0.0618	-0.0563	0.1986	-0.0332	0.0263	-0.0049	0.1241	-0.0968	0.0486	-0.0428	-0.1361	-0.0934	-0.0512	0.1413	-0.0901	-0.0309	0.0636	0.0338	-0.0075	-0.0014	0.0072	-0.1274	0.0611	0.0702	0.146	0.1406	0.0972	0.0244	0.0283	0.1097	-0.008	-0.0199	-0.0175	0.0953	-0.0705	-0.0425	0.1712	-0.0788	
TNNT2	-0.1497	-0.0532	-0.0424	-0.0721	0.2146	-0.0338	-0.0251	0.0107	0.0176	0.1654	0.098	-0.0527	0.0709	0.2792	0.1684	-0.2114	0.1084	0.2049	-0.0821	0.0796	0.0301	0.1612	-0.032	-0.0685	0.086	-0.0649	0.0557	0.1167	0.0933	0.0887	-0.002	0.155	-0.1161	0.1159	0.2109	-0.0753	-0.1049	-0.2038	0.0649	
KIR3DL0	0.1189	0.1773	0.1188	-0.16	0.0885	-0.032	0.026	0.0532	-0.1805	0.1099	0.0259	-0.0022	0.0464	-0.1668	-0.1074	0.0385	0.1031	-0.1666	-0.1725	0.1013	-0.0398	0.0032	-0.1979	-0.1367	0.05	0.2468	0.0355	-0.1512	0.1441	0.0654	0.111	-0.1354	0.0752	0.0012	-0.0665	0.0504	-0.0751	-0.1956	0.0836	
STARD8	-0.1249	0.0438	0.013	-0.2131	-0.1491	-0.0023	0.1704	0.0941	-0.1162	-0.0983	0.0361	0.1557	0.1073	0.0983	-0.288	0.0103	-0.0565	0.0258	-0.0316	0.0414	0.0441	-0.0485	-0.0099	-0.2202	0.2528	-0.0198	-0.0261	0.1256	-0.1035	0.0562	0.1421	-0.0607	0.0576	0.067	0.0586	0.023	-0.2271	-0.061	-0.0859	
RBM46	0.1539	0.0904	0.013	0.0999	0.0185	-0.17	0.2058	-0.0845	-0.038	0.0212	0.1231	0.0115	0.081	-0.1411	-0.1406	0.0722	-0.0613	0.0792	0.127	0.0128	-0.0425	0.2686	-0.2391	-0.0844	-0.1582	0.2283	-0.0063	0.0728	-0.1232	0.0176	-0.2581	-0.0358	-0.1103	0.1185	0.2154	0.3683	0.0978	-0.1543	-0.1198	
X00000064715	0.0703	-0.0402	-0.1305	0.1856	0.0533	-0.01	-0.0071	0.082	-0.2507	-0.2101	0.1078	0	0.0539	-0.0782	-0.2259	-0.0736	0.1184	0.0152	-0.0337	0.1915	0.0349	0.1186	0.3206	0.1857	0.0144	0.0501	0.0885	0.2087	0.1869	0.0717	0.1905	0.0224	-0.0385	-0.0647	-0.0038	0.0568	0.1245	0.0077	0.0383	
